Sr.No,url,Painting name,Artist Name,Height,Width,Location,Artist_Region,Views,Favorites,Painting_PopularityIndex,Price,Subject,Medium,Number of mediums,Pri12y medium,Published date,Size,Month,Day,Year,Date uploaded,Age of painting as on 8-Apr,Artist_artworks,Artist_followers,Artist_popularityIndex,Material,Number_materials,Pri12y_materials,Style,Number_styles,Pri12y_style
1122,https://www.saatchiart.com/art/Painting-Detour/883811/3363026/view,Detour,Larry Hill,40,30,United States,North America,262,24,0.092,2040,Abstract,Oil,1,Oil,Thu Dec 31 19:00:00 EST 2015,1200,10,22,2011,40838,1995,36,44,0.02,Canvas ,1,Canvas ,"Abstract, Abstract Expressionism, Fine Art, Street Art, Modern ",5,Abstract
1123,https://www.saatchiart.com/art/Painting-Birds-of-a-Feather/338166/189801/view,Birds of a Feather Painting by Stephen A Hall,Stephen A Hall,36,48,United States,North America,2376,16,0.007,9850,People ,Acrylic ,1,Acrylic ,Mon Sep 12 20:00:00 EDT 2011,1728,9,12,2011,40798,2035,37,38,0.02,Canvas ,1,Canvas ,"Surrealism, Figurative, Pop Art, Portraiture, Fine Art ",5,Surrealism
1124,https://www.saatchiart.com/art/Painting-Childhood-memories/722752/2121443/view,Childhood memories Painting by Ufaq Ehsan,Ufaq Ehsan,24,24,Unknown,Unknown,741,15,0.02,980,Children ,"Acrylic, Watercolor ",2,Acrylic,Sat Aug 13 20:00:00 EDT 2011,576,8,13,2011,40768,2065,15,1,0,Other ,1,Other ,Fine Art ,1,Fine Art 
1125,https://www.saatchiart.com/art/Painting-face-madness-05/736390/2211205/view,face_madness #05 Painting by Kim Byungkwan,Kim Byungkwan,46.1,35.8,South Korea,Asia,3687,94,0.025,3990,Portrait ,Acrylic ,1,Acrylic ,Tue Jun 14 20:00:00 EDT 2011,1650.38,6,14,2011,40708,2125,89,1247,0.51,Canvas ,1,Canvas ,"Fine Art, Expressionism, Portraiture ",3,Fine Art
1126,https://www.saatchiart.com/art/Painting-Still-life-2Apples/489960/3078418/view,Still life 2Apples,david stanley,9,11,United Kingdom,Europe,373,10,0.027,710,Still Life,Oil,1,Oil,Thu Dec 31 19:00:00 EST 2015,99,12,12,2011,40614,2219,27,43,0.02,Carbon Fibre ,1,Carbon Fibre ,Fine Art ,1,Fine Art 
1127,https://www.saatchiart.com/art/Painting-Prayer-Flag-2/756450/2317841/view,Prayer Flag #2 Painting by Stan Berning,Stan Berning,23,19,United States,North America,508,3,0.006,1740,Abstract ,"Gouache, Watercolor ",2,Gouache,Fri Jan  7 19:00:00 EST 2011,437,1,7,2011,40550,2283,9,17,0.01,Paper ,1,Paper ,"Abstract, Fine Art ",2,Abstract
1128,https://www.saatchiart.com/art/Painting-Roots-3/41103/3185535/view,Roots (3),Luciano de Liberato,15.7,15.7,Italy,Europe,496,12,0.024,2950,Abstract,Acrylic,1,Acrylic,Thu Dec 31 19:00:00 EST 2015,246.49,12,31,2010,40543,2290,79,918,0.38,Canvas ,1,Canvas ,"Abstract, Fine Art, Modern, Abstract Expressionism, Expressionism ",5,Abstract
1129,https://www.saatchiart.com/art/Painting-Portrait-of-Rocks-No-2/351725/3276590/view,Portrait of Rocks No. 2 Painting by Pai Peng,Pai Peng,39.4,39.4,China,Asia,131,7,0.053,3250,Landscape ,Oil ,1,Oil ,Fri Dec 31 19:00:00 EST 2010,1552.36,12,31,2010,40543,2290,25,18,0.01,Canvas ,1,Canvas ,"Conceptual, Fine Art, Realism ",3,Conceptual
1130,https://www.saatchiart.com/art/Painting-Solace-1-7/786228/2468338/view,Solace 1-7 Painting by Soyeun Park,Soyeun Park,63.9,51.3,South Korea,Asia,886,22,0.025,7800,Family ,ink on korea paper ,1,ink on korea paper ,Fri Dec 31 19:00:00 EST 2010,3278.07,12,31,2010,40543,2290,63,44,0.02,Wood ,1,Wood ,"Fine Art, Abstract, Street Art ",3,Fine Art
1131,https://www.saatchiart.com/art/Painting-Foreast-1/894394/3085692/view,Foreast 1 Painting by Sujeong NAM,Sujeong NAM,50,57,South Korea,Asia,252,18,0.071,7700,Botanic ,"Conte, Pencil, Paper, Color, Watercolor ",5,Conte,Fri Dec 31 19:00:00 EST 2010,2850,12,31,2010,40543,2290,11,20,0.01,Paper ,1,Paper ,Fine Art ,1,Fine Art 
